home, homescore, awayscore, away, date, stadium
Tenerife, 3, 1, Deportivo La CoruÃ±a, "Sunday, November 11, 2001","  (14,000)"
Barcelona, 4, 0, Real Valladolid, "Sunday, November 11, 2001"," Camp Nou (40,000)"
Sevilla FC, 0, 0, Real Betis, "Saturday, November 10, 2001"," Estadio Ramon Sanchez Pizjuan (35,000)"
Deportivo La CoruÃ±a, 5, 1, Osasuna, "Sunday, November 4, 2001"," Riazor Stadium (29,000)"
Espanyol, 1, 2, Real Sociedad, "Sunday, November 4, 2001"," Montjuic Stadium (18,100)"
Malaga, 1, 3, Sevilla FC, "Sunday, November 4, 2001"," La Rosaleda (20,000)"
Mallorca, 2, 0, Tenerife, "Sunday, November 4, 2001"," Son Moix (14,000)"
Real Betis, 0, 1, Real Zaragoza, "Sunday, November 4, 2001"," Estadio Manuel Ruiz de Lopera (21,000)"
Real Valladolid, 1, 0, Villarreal, "Sunday, November 4, 2001"," Nuevo Jose Zorilla Stadium (12,000)"
Valencia, 2, 1, Rayo Vallecano, "Sunday, November 4, 2001"," Mestalla Stadium (45,000)"
Las Palmas, 4, 2, Celta Vigo, "Sunday, November 4, 2001"," Estadio Insular (16,000)"
Real Madrid, 2, 0, Barcelona, "Sunday, November 4, 2001"," Santiago Bernabeu (75,000)"
Athletic Bilbao, 2, 1, AlavÃ©s, "Saturday, November 3, 2001"," San Mames Stadium (35,000)"
AlavÃ©s, 1, 0, Las Palmas, "Sunday, October 28, 2001"," Mendizorroza Stadium (13,500)"
Celta Vigo, 1, 1, Real Valladolid, "Sunday, October 28, 2001"," Balaidos Stadium (25,000)"
Real Zaragoza, 0, 2, Malaga, "Sunday, October 28, 2001"," La Romareda Stadium (28,000)"
Sevilla FC, 1, 1, Valencia, "Sunday, October 28, 2001","  (32,600)"
Athletic Bilbao, 1, 1, Espanyol, "Sunday, October 28, 2001"," San Mames Stadium (30,000)"
Villarreal, 2, 3, Real Madrid, "Saturday, October 27, 2001"," El Madrigal (23,000)"
Rayo Vallecano, 2, 1, Deportivo La CoruÃ±a, "Saturday, October 27, 2001"," Nuevo Vallecas Stadium (11,000)"
Osasuna, 4, 0, Mallorca, "Saturday, October 27, 2001"," El Sadar (17,000)"
Barcelona, 3, 0, Real Betis, "Saturday, October 27, 2001"," Camp Nou (75,000)"
Tenerife, 0, 1, Real Sociedad, "Saturday, October 27, 2001"," Estadio Heliodoro Rodriguez Lopez  (15,000)"
Real Valladolid, 1, 3, AlavÃ©s, "Sunday, October 21, 2001"," Nuevo Jose Zorilla Stadium (11,500)"
Espanyol, 2, 0, Tenerife, "Sunday, October 21, 2001"," Montjuic Stadium (21,100)"
Real Madrid, 1, 1, Celta Vigo, "Sunday, October 21, 2001"," Santiago Bernabeu (75,000)"
Valencia, 2, 0, Real Zaragoza, "Sunday, October 21, 2001"," Mestalla Stadium (42,000)"
Malaga, 1, 1, Barcelona, "Saturday, October 20, 2001"," La Rosaleda (28,000)"
Real Sociedad, 2, 1, Osasuna, "Saturday, October 20, 2001"," Anoeta Stadium (22,000)"
Deportivo La CoruÃ±a, 1, 0, Sevilla FC, "Saturday, October 20, 2001"," Riazor Stadium (27,000)"
Real Betis, 1, 1, Villarreal, "Saturday, October 20, 2001"," Estadio Manuel Ruiz de Lopera (33,000)"
Las Palmas, 1, 1, Athletic Bilbao, "Saturday, October 20, 2001"," Estadio Insular (18,000)"
Osasuna, 0, 2, Tenerife, "Sunday, October 14, 2001"," El Sadar "
Athletic Bilbao, 1, 4, Real Valladolid, "Sunday, October 14, 2001"," San Mames Stadium (30,000)"
Celta Vigo, 3, 1, Real Betis, "Sunday, October 14, 2001"," Balaidos Stadium (16,000)"
Real Zaragoza, 1, 2, Deportivo La CoruÃ±a, "Saturday, October 13, 2001"," La Romareda Stadium (28,000)"
Sevilla FC, 2, 2, Mallorca, "Saturday, October 13, 2001"," Estadio Ramon Sanchez Pizjuan (29,000)"
AlavÃ©s, 0, 0, Real Madrid, "Saturday, October 13, 2001"," Mendizorroza Stadium (15,617)"
Valencia, 1, 0, Villarreal, "Sunday, October 7, 2001","  "
Espanyol, 1, 1, Osasuna, "Sunday, October 7, 2001"," Montjuic Stadium (20,300)"
Malaga, 2, 2, Celta Vigo, "Sunday, October 7, 2001"," La Rosaleda (14,000)"
Real Betis, 1, 0, AlavÃ©s, "Sunday, October 7, 2001"," Estadio Manuel Ruiz de Lopera (32,000)"
Real Sociedad, 3, 3, Sevilla FC, "Sunday, October 7, 2001"," Anoeta Stadium (22,000)"
Real Valladolid, 1, 0, Las Palmas, "Sunday, October 7, 2001"," Nuevo Jose Zorilla Stadium (11,000)"
Mallorca, 0, 1, Real Zaragoza, "Sunday, October 7, 2001"," Son Moix "
Tenerife, 3, 1, Rayo Vallecano, "Sunday, October 7, 2001","  (10,000)"
Real Madrid, 2, 0, Athletic Bilbao, "Saturday, October 6, 2001"," Santiago Bernabeu (50,000)"
Deportivo La CoruÃ±a, 2, 1, Barcelona, "Saturday, October 6, 2001"," Riazor Stadium (34,000)"
Celta Vigo, 1, 1, Valencia, "Thursday, October 4, 2001"," Balaidos Stadium (20,000)"
AlavÃ©s, 1, 0, Malaga, "Wednesday, October 3, 2001"," Mendizorroza Stadium (12,344)"
Rayo Vallecano, 0, 1, Osasuna, "Wednesday, October 3, 2001"," Nuevo Vallecas Stadium "
Real Valladolid, 0, 1, Espanyol, "Wednesday, October 3, 2001"," Nuevo Jose Zorilla Stadium "
Real Zaragoza, 3, 2, Real Sociedad, "Wednesday, October 3, 2001"," La Romareda Stadium (21,000)"
Barcelona, 3, 0, Mallorca, "Wednesday, October 3, 2001"," Camp Nou "
Athletic Bilbao, 0, 0, Real Betis, "Wednesday, October 3, 2001"," San Mames Stadium "
Sevilla FC, 2, 0, Tenerife, "Wednesday, October 3, 2001","  (20,000)"
Villarreal, 1, 1, Deportivo La CoruÃ±a, "Wednesday, October 3, 2001"," El Madrigal (16,000)"
Las Palmas, 4, 2, Real Madrid, "Wednesday, October 3, 2001"," Estadio Insular "
Osasuna, 1, 0, Sevilla FC, "Sunday, September 30, 2001"," El Sadar (17,000)"
Mallorca, 0, 1, Villarreal, "Sunday, September 30, 2001"," Son Moix (18,000)"
Real Betis, 1, 0, Las Palmas, "Sunday, September 30, 2001"," Estadio Manuel Ruiz de Lopera (39,000)"
Tenerife, 0, 0, Real Zaragoza, "Sunday, September 30, 2001","  (15,000)"
Valencia, 0, 0, AlavÃ©s, "Sunday, September 30, 2001"," Mestalla Stadium "
Deportivo La CoruÃ±a, 2, 2, Celta Vigo, "Sunday, September 30, 2001"," Riazor Stadium (35,000)"
Real Sociedad, 0, 2, Barcelona, "Saturday, September 29, 2001"," Anoeta Stadium (29,760)"
Espanyol, 3, 1, Rayo Vallecano, "Saturday, September 29, 2001"," Montjuic Stadium "
Malaga, 1, 2, Athletic Bilbao, "Saturday, September 29, 2001"," La Rosaleda (18,000)"
Real Madrid, 2, 2, Real Valladolid, "Saturday, September 29, 2001"," Santiago Bernabeu (55,000)"
Celta Vigo, 2, 0, Mallorca, "Sunday, September 23, 2001"," Balaidos Stadium (22,000)"
Real Valladolid, 0, 2, Real Betis, "Sunday, September 23, 2001"," Nuevo Jose Zorilla Stadium (11,000)"
Sevilla FC, 2, 1, Rayo Vallecano, "Sunday, September 23, 2001","  (29,000)"
Real Zaragoza, 0, 1, Osasuna, "Sunday, September 23, 2001"," La Romareda Stadium (22,000)"
Athletic Bilbao, 2, 2, Valencia, "Sunday, September 23, 2001"," San Mames Stadium (35,000)"
Villarreal, 1, 0, Real Sociedad, "Saturday, September 22, 2001"," El Madrigal (7,000)"
Barcelona, 2, 0, Tenerife, "Saturday, September 22, 2001"," Camp Nou (40,000)"
Real Madrid, 5, 1, Espanyol, "Saturday, September 22, 2001"," Santiago Bernabeu (45,000)"
AlavÃ©s, 2, 3, Deportivo La CoruÃ±a, "Saturday, September 22, 2001"," Mendizorroza Stadium (13,000)"
Las Palmas, 0, 0, Malaga, "Saturday, September 22, 2001"," Estadio Insular (16,000)"
Espanyol, 2, 3, Sevilla FC, "Sunday, September 16, 2001"," Montjuic Stadium (21,200)"
Real Sociedad, 0, 0, Celta Vigo, "Sunday, September 16, 2001"," Anoeta Stadium (18,000)"
Malaga, 1, 2, Real Valladolid, "Sunday, September 16, 2001"," La Rosaleda (18,000)"
Rayo Vallecano, 1, 2, Real Zaragoza, "Sunday, September 16, 2001"," Nuevo Vallecas Stadium (6,000)"
Tenerife, 2, 0, Villarreal, "Sunday, September 16, 2001","  "
Valencia, 1, 0, Las Palmas, "Sunday, September 16, 2001"," Mestalla Stadium "
Mallorca, 0, 0, AlavÃ©s, "Saturday, September 15, 2001"," Son Moix (18,500)"
Deportivo La CoruÃ±a, 1, 2, Athletic Bilbao, "Saturday, September 15, 2001"," Riazor Stadium (30,000)"
Osasuna, 0, 0, Barcelona, "Saturday, September 15, 2001"," El Sadar (19,500)"
Real Betis, 3, 1, Real Madrid, "Saturday, September 15, 2001"," Estadio Manuel Ruiz de Lopera (55,000)"
AlavÃ©s, 2, 0, Real Sociedad, "Sunday, September 9, 2001"," Mendizorroza Stadium (14,816)"
Celta Vigo, 3, 0, Tenerife, "Sunday, September 9, 2001"," Balaidos Stadium (22,000)"
Barcelona, 1, 1, Rayo Vallecano, "Sunday, September 9, 2001"," Camp Nou (76,440)"
Real Valladolid, 1, 1, Valencia, "Sunday, September 9, 2001"," Nuevo Jose Zorilla Stadium (12,200)"
Real Betis, 2, 0, Espanyol, "Sunday, September 9, 2001"," Estadio Manuel Ruiz de Lopera (39,000)"
Real Zaragoza, 1, 1, Sevilla FC, "Sunday, September 9, 2001"," La Romareda Stadium (25,000)"
Athletic Bilbao, 0, 1, Mallorca, "Saturday, September 8, 2001"," San Mames Stadium (30,000)"
Villarreal, 3, 0, Osasuna, "Saturday, September 8, 2001"," El Madrigal (8,400)"
Real Madrid, 1, 1, Malaga, "Saturday, September 8, 2001"," Santiago Bernabeu (75,000)"
Las Palmas, 0, 1, Deportivo La CoruÃ±a, "Saturday, September 8, 2001"," Estadio Insular (18,000)"
Osasuna, 0, 3, Celta Vigo, "Sunday, August 26, 2001"," El Sadar (17,000)"
Real Sociedad, 1, 3, Athletic Bilbao, "Sunday, August 26, 2001"," Anoeta Stadium (28,000)"
Tenerife, 0, 2, Alavés, "Sunday, August 26, 2001","  (18,000)"
Deportivo La Coruña, 4, 0, Real Valladolid, "Sunday, August 26, 2001"," Riazor Stadium (17,000)"
Espanyol, 2, 1, Real Zaragoza, "Sunday, August 26, 2001"," Montjuic Stadium (16,900)"
Mallorca, 0, 3, Las Palmas, "Sunday, August 26, 2001"," Son Moix (15,405)"
Malaga, 3, 2, Real Betis, "Sunday, August 26, 2001"," La Rosaleda (20,000)"
Rayo Vallecano, 1, 2, Villarreal, "Sunday, August 26, 2001"," Nuevo Vallecas Stadium (5,000)"
Sevilla FC, 1, 2, Barcelona, "Sunday, August 26, 2001","  (44,100)"
Valencia, 1, 0, Real Madrid, "Saturday, August 25, 2001"," Mestalla Stadium (52,000)"
